record_id,equipment_id,equipment_name,component,fault_message,symptoms,root_cause,action_taken,downtime_minutes,severity,days_since_overhaul
FH-0001,TSA-RM-GBX-002,Rolling Mill Gearbox,oil contamination,OIL_CONTAMINATION,"oil contamination pattern with vibration 5.2 mm/s, pressure 105.4 bar, oil quality 34.5",gear tooth pitting,Borescope gear teeth,326,high,239
FH-0002,TSA-SMS-EAF-022,Electric Arc Furnace Transformer,tap changer wear,TAP_CHANGER_WEAR,"tap changer wear pattern with vibration 4.59 mm/s, pressure 102.1 bar, oil quality 75.5",tap contact erosion,Check winding temperature,367,high,182
FH-0003,HRM-COIL-03,Down Coiler Mandrel,mandrel expansion failure,MANDREL_EXPANSION_FAILURE,"mandrel expansion failure pattern with vibration 5.54 mm/s, pressure 76.0 bar, oil quality 57.1",worn mandrel segment,Align wrapper roll,384,critical,57
FH-0004,TSA-SIN-EFN-013,Sinter Exhaust Fan,fan imbalance,FAN_IMBALANCE,"fan imbalance pattern with vibration 6.54 mm/s, pressure 128.8 bar, oil quality 52.9",dust buildup,Inspect fan bearings,355,high,72
FH-0005,TSA-SIN-CDR-012,Sinter Conveyor Drive,oil contamination,OIL_CONTAMINATION,"oil contamination pattern with vibration 5.1 mm/s, pressure 107.9 bar, oil quality 50.7",material buildup,Clear material buildup,127,medium,119
FH-0006,TSA-RM-CNV-020,Rolling Mill Conveyor System,belt misalignment,BELT_MISALIGNMENT,"belt misalignment pattern with vibration 4.53 mm/s, pressure 128.7 bar, oil quality 72.3",tracking drift,Check pulley lagging,465,medium,110
FH-0007,TSA-BF-CPM-005,Blast Furnace Cooling Pump,seal leakage,SEAL_LEAKAGE,"seal leakage pattern with vibration 3.7 mm/s, pressure 95.8 bar, oil quality 66.8",mechanical seal wear,Inspect mechanical seal,472,high,68
FH-0008,TSA-CCM-ROL-009,Continuous Casting Roller,roller bearing seizure,ROLLER_BEARING_SEIZURE,"roller bearing seizure pattern with vibration 7.99 mm/s, pressure 82.9 bar, oil quality 60.0",bearing water ingress,Replace damaged bearing assembly,595,critical,242
FH-0009,TSA-RMH-CNV-014,Raw Material Conveyor,pulley lagging wear,PULLEY_LAGGING_WEAR,"pulley lagging wear pattern with vibration 3.17 mm/s, pressure 114.2 bar, oil quality 77.2",material carryback,Inspect idlers,512,low,190
FH-0010,TSA-SIN-CDR-012,Sinter Conveyor Drive,oil contamination,OIL_CONTAMINATION,"oil contamination pattern with vibration 5.1 mm/s, pressure 107.9 bar, oil quality 50.7",material buildup,Check belt loading,459,medium,239
FH-0011,TSA-RMH-CNV-014,Raw Material Conveyor,idler seizure,IDLER_SEIZURE,"idler seizure pattern with vibration 3.17 mm/s, pressure 114.2 bar, oil quality 77.2",idler bearing contamination,Inspect idlers,264,low,189
FH-0012,TSA-SIN-CDR-012,Sinter Conveyor Drive,oil contamination,OIL_CONTAMINATION,"oil contamination pattern with vibration 5.1 mm/s, pressure 107.9 bar, oil quality 50.7",misalignment,Inspect coupling alignment,313,medium,82
FH-0013,TSA-SIN-CDR-012,Sinter Conveyor Drive,oil contamination,OIL_CONTAMINATION,"oil contamination pattern with vibration 5.1 mm/s, pressure 107.9 bar, oil quality 50.7",coupling backlash,Clear material buildup,245,medium,145
FH-0014,TSA-UTL-GCP-011,Gas Compressor,compressor surge,COMPRESSOR_SURGE,"compressor surge pattern with vibration 5.45 mm/s, pressure 100.4 bar, oil quality 69.2",inlet filter restriction,Check separator differential pressure,380,high,145
FH-0015,TSA-RM-MTR-001,Rolling Mill Drive Motor,overheating,OVERHEATING,"overheating pattern with vibration 4.97 mm/s, pressure 106.7 bar, oil quality 55.6",rotor eccentricity,Perform insulation resistance test,428,high,90
FH-0016,TSA-CCM-ROL-009,Continuous Casting Roller,roller bearing seizure,ROLLER_BEARING_SEIZURE,"roller bearing seizure pattern with vibration 7.99 mm/s, pressure 82.9 bar, oil quality 60.0",bearing water ingress,Check spray cooling,157,critical,131
FH-0017,TSA-SIN-SCR-023,Sinter Screen Drive,deck clogging,DECK_CLOGGING,"deck clogging pattern with vibration 4.1 mm/s, pressure 109.6 bar, oil quality 87.4",screen aperture blinding,Balance screen drive,112,medium,32
FH-0018,TSA-UTL-STG-019,Steam Turbine Generator,blade vibration,BLADE_VIBRATION,"blade vibration pattern with vibration 4.66 mm/s, pressure 119.5 bar, oil quality 66.8",rotor imbalance,Inspect steam seal leakage,444,high,84
